,Technology,Indicator,Country/area,variable,value
0,Hydropower,Electricity generation (GWh),China,2000,225042.0
1,Wind,Electricity generation (GWh),China,2000,615.0
2,Solar,Electricity generation (GWh),China,2000,11.4
3,Bioenergy,Electricity generation (GWh),China,2000,2421.0
4,Hydropower,Electricity generation (GWh),China,2001,280060.0
5,Wind,Electricity generation (GWh),China,2001,749.0
6,Solar,Electricity generation (GWh),China,2001,14.1
7,Bioenergy,Electricity generation (GWh),China,2001,2438.0
8,Hydropower,Electricity generation (GWh),China,2002,290602.0
9,Wind,Electricity generation (GWh),China,2002,873.0
10,Solar,Electricity generation (GWh),China,2002,25.2
11,Bioenergy,Electricity generation (GWh),China,2002,2430.0
12,Hydropower,Electricity generation (GWh),China,2003,286309.0
13,Wind,Electricity generation (GWh),China,2003,1039.0
14,Solar,Electricity generation (GWh),China,2003,31.2
15,Bioenergy,Electricity generation (GWh),China,2003,2422.0
16,Hydropower,Electricity generation (GWh),China,2004,356172.0
17,Wind,Electricity generation (GWh),China,2004,1332.0
18,Solar,Electricity generation (GWh),China,2004,37.2
19,Bioenergy,Electricity generation (GWh),China,2004,2414.0
20,Hydropower,Electricity generation (GWh),China,2005,399343.4
21,Wind,Electricity generation (GWh),China,2005,1600.0
22,Solar,Electricity generation (GWh),China,2005,42.0
23,Bioenergy,Electricity generation (GWh),China,2005,5200.0
24,Hydropower,Electricity generation (GWh),China,2006,418058.7
25,Wind,Electricity generation (GWh),China,2006,2800.0
26,Solar,Electricity generation (GWh),China,2006,48.0
27,Bioenergy,Electricity generation (GWh),China,2006,7000.0
28,Hydropower,Electricity generation (GWh),China,2007,476101.5
29,Wind,Electricity generation (GWh),China,2007,5700.0
30,Solar,Electricity generation (GWh),China,2007,61.0
31,Bioenergy,Electricity generation (GWh),China,2007,9740.0
32,Hydropower,Electricity generation (GWh),China,2008,570861.1
33,Wind,Electricity generation (GWh),China,2008,11400.0
34,Solar,Electricity generation (GWh),China,2008,84.0
35,Bioenergy,Electricity generation (GWh),China,2008,14715.0
36,Hydropower,Electricity generation (GWh),China,2009,578882.7
37,Wind,Electricity generation (GWh),China,2009,24900.0
38,Solar,Electricity generation (GWh),China,2009,170.0
39,Bioenergy,Electricity generation (GWh),China,2009,20700.0
40,Hydropower,Electricity generation (GWh),China,2010,697500.0
41,Wind,Electricity generation (GWh),China,2010,49000.0
42,Solar,Electricity generation (GWh),China,2010,518.5
43,Bioenergy,Electricity generation (GWh),China,2010,24750.0
44,Hydropower,Electricity generation (GWh),China,2011,700208.5
45,Wind,Electricity generation (GWh),China,2011,71500.0
46,Solar,Electricity generation (GWh),China,2011,1761.0
47,Bioenergy,Electricity generation (GWh),China,2011,31500.0
48,Hydropower,Electricity generation (GWh),China,2012,863300.0
49,Wind,Electricity generation (GWh),China,2012,102800.0
50,Solar,Electricity generation (GWh),China,2012,4101.0
51,Bioenergy,Electricity generation (GWh),China,2012,31500.0
52,Hydropower,Electricity generation (GWh),China,2013,902234.4
53,Wind,Electricity generation (GWh),China,2013,139300.0
54,Solar,Electricity generation (GWh),China,2013,8501.0
55,Bioenergy,Electricity generation (GWh),China,2013,38300.0
56,Hydropower,Electricity generation (GWh),China,2014,1060100.0
57,Wind,Electricity generation (GWh),China,2014,158271.0
58,Solar,Electricity generation (GWh),China,2014,25007.4
59,Bioenergy,Electricity generation (GWh),China,2014,22900.0
60,Hydropower,Electricity generation (GWh),China,2015,
61,Wind,Electricity generation (GWh),China,2015,
62,Solar,Electricity generation (GWh),China,2015,
63,Bioenergy,Electricity generation (GWh),China,2015,
64,Hydropower,Electricity generation (GWh),China,2016,
65,Wind,Electricity generation (GWh),China,2016,
66,Solar,Electricity generation (GWh),China,2016,
67,Bioenergy,Electricity generation (GWh),China,2016,
